9-volt,ナインボルト
95-tan,95たん
96neko,"96猫,響希ナツメ,96猫絵,つかって96ちゃん"
98-tan,"はっちゃん,98たん"
98se-tan,"98SEたん,SEたん"
9a-91_(bullets_cafe)_(girls'_frontline),弾丸カフェ
9a-91_(girls'_frontline),"9A-91(ドールズフロントライン),9A-91(少女前線)"
9s_(nier:automata),ヨルハ九号S型
:3,猫口
:<,への字口
:>,Vの字口
:>=,"ひょっとこフェラ,バキュームフェラ"
:i,"ふくれっ面,「ぷー」とふくらんで"
:o,Oの字口
:t,"ふくれっ面,膨れっ面"
=_=,コメくいてー顔
?,きょとんハテナ
@_@,ぐるぐる目
\n/,コルナ
a'gen_(the_legend_of_luoxiaohei),"アゲン(羅小黒戦記),アグン,阿根"
a's_wonderland,エースのワンダーランド
a-37_(mahjong_soul),A-37
a-91_(girls'_frontline),"A-91(ドールズフロントライン),A-91(少女前線)"
a-chan_(1st_costume)_(hololive),友人A(シャツ衣装)
a-chan_(2nd_costume)_(hololive),友人A(OL衣装)
a-chan_(hololive),"友人A,絵ーちゃん,えーちゃん"
a-chan_(little_busters!),あーちゃん先輩
a-pose,"A-ポーズ,Aポーズ"
a-q_(madoka_magica),A-Q
a-soul,ASOUL
a.b.a,アバ
a.i._voice,a.i.voice
a.k.i._(street_fighter),AKI
a106,A106
a2_(nier:automata),ヨルハA型二号
a3!,エースリー
a5m,九六式艦上戦闘機
a6m_zero,"零式艦上戦闘機,ゼロ戦,零戦"
a7m_reppuu,烈風
a_(naruto),"エー,四代目雷影"
a_(show_by_rock!!),阿
a_(xenoblade),"エイ(ゼノブレイド3),エイ"
a_channel,Aチャンネル
a_clockwork_orange,時計じかけのオレンジ
a_deer_of_nine_colors,九色鹿
a_dog_of_flanders,フランダースの犬
a_flat_chest_is_a_status_symbol,"貧乳はステータス,貧乳はステータスだ!希少価値だ!"
a_grim_reminder,その日人類は思い出した
a_hat_in_time,A_Hat_in_Time
a_knight_(reverse:1999),未锈铠
a_nightmare_on_elm_street,"エルム街の悪夢,エルムがいのあくむ"
a_song_of_ice_and_fire,氷と炎の歌
aa-12_(girls'_frontline),"AA-12(少女前線),AA-12(ドールズフロントライン)"
aa_megami-sama,ああっ女神さまっ
aac_honey_badger,ハニーバジャー
aak_(arknights),ア(アークナイツ)
aallotar_(ac8231),アロタ
aalto_(wuthering_waves),アールト
aang,"安昂,アン(アバター伝説の少年アン)"
aardwolf_(kemono_friends),アードウルフ(けものフレンズ)
aaron_(pokemon),"リョウ(トレーナー),リョウ(ポケモン)"
aaron_wei,アーロン・ウェイ
aarontsay,aaronillust
aatrox,aatrox
abacus,そろばん
abarai_ichika,阿散井苺花
abarai_renji,阿散井恋次
abbadomon,アバドモン
abbey_(pui_pui_molcar),アビー
abbey_road,アビーロード
abby_(wuthering_waves),阿布
abduction,アブダクション
abe_(nikke),エイブ(勝利の女神:NIKKE)
abe_nana,安部菜々
abe_no_seimei_(fate),安倍晴明(Fate)
abe_no_seimei_(onmyoji),安倍晴明
abe_takakazu,"阿部高和,阿部さん,いい男"
abel_(street_fighter),アベル(ストリートファイター)
abel_nightroad,アベル・ナイトロード
abelia_(ogami_kazuki),アベリア
abenobashi_mahou_shoutengai,アベノ橋魔法☆商店街
abercrombie_(azur_lane),"アバークロンビー(アズールレーン),アバークロンビー"
abigail_(black_survival),アビゲイル
abigail_(final_fight),アビゲイル(ファイナルファイト)
abigail_williams_(emerald_float)_(fate),エメラルド・フロート
abigail_williams_(fate),"異端なるセイレム,アビゲイル,アビゲイル・ウィリアムズ(Fate),アビゲイル(Fate),アビラヴィ"
abigail_williams_(festival_outfit)_(fate),英霊祭装
abigail_williams_(santa)_(fate),アビゲイル・ウィリアムズ〔サンタ〕
abigail_williams_(swimsuit_foreigner)_(first_ascension)_(fate),アビゲイル・ウィリアムズ(水着)
abigail_williams_(swimsuit_foreigner)_(second_ascension)_(fate),アビゲイル・ウィリアムズ(水着)
abigail_williams_(swimsuit_foreigner)_(third_ascension)_(fate),アビゲイル・ウィリアムズ(水着)
abigail_williams_(traveling_outfit)_(fate),英霊旅装
ability_card_(touhou),アビリティカード
abomasnow,ユキノオー
abra,ケーシィ
abs,"腹筋,腹直筋"
absinthe_(arknights),"苦艾,アブサント(アークナイツ)"
absol,アブソル
absolute_duo,"アブソリュート・デュオ,アブソリュート·デュオ"
absorbing,吸収
abstract,アブストラクト
abukuma_(azur_lane),"阿武隈(アズールレーン),阿武隈改(アズールレーン)"
abukuma_(kancolle),"阿武隈,阿武隈(艦隊これくしょん),阿武隈(艦これ)"
abukuma_kai_ni_(kancolle),阿武隈改二
aburaage,"油揚げ,あぶらあげ"
aburame_shino,油女シノ
abuse,"虐待,リンチ"
abyss_mage_(genshin_impact),アビスの魔術師
abyss_watcher,深淵の監視者
abyssal_admiral_(kancolle),"深海提督,提督,深海棲提督"
abyssal_chishima_princess,深海千島棲姫
abyssal_crane_princess,深海鶴棲姫
abyssal_jellyfish_princess,深海海月姫
abyssal_pacific_princess,太平洋深海棲姫
abyssal_ship,"深海棲艦,深海棲艦化"
abyssal_sun_princess,深海日棲姫
abyssal_twin_princess_(black),深海双子棲姫
abyssal_twin_princess_(white),深海双子棲姫
ac_japan,"ACジャパン,公共広告機構,こだまでしょうか,あいさつの魔法,ポポポポ~ン,ぽぽぽぽーん,黒い絵,消える砂の像"
acacia_(snowbreak),アカシア(スノウブレイク)
academy_city,"学園都市,學園都市"
acasta_(azur_lane),アカスタ(アズールレーン)
acca_13-ku_kansatsu-ka,ACCA13区監察課
accel_world,アクセル・ワールド
accelerator_(toaru_majutsu_no_index),"一方通行,アクセラレータ"
accelgor,アギルダー
acchi_kocchi,あっちこっち
accidental_pervert,ラッキースケベ
accordion,アコーディオン
ace_(arknights),ace(アークナイツ)
ace_attorney,"逆転裁判,逆裁腐向け"
ace_attorney_investigations,逆転検事
ace_attorney_investigations:_miles_edgeworth,逆転検事
ace_attorney_investigations_2:_prosecutor's_gambit,逆転検事2
ace_combat,エースコンバット
ace_combat_04,エースコンバット04
ace_combat_5,エースコンバット5
ace_combat_7,エースコンバット7
ace_combat_zero,"エースコンバットZERO,エースコンバットゼロ,エースコンバット・ゼロ,ザ・ベルカン・ウォー"
ace_of_diamond,"ダイヤのA[エース],ダイヤのA"
ace_trainer_(female)_(pokemon_bw),エリートトレーナー
ace_trainer_(pokemon),エリートトレーナー
ace_trappola,エース・トラッポラ
acerola_(fall_2020)_(pokemon),アセロラ(20シーズン)
acerola_(pokemon),"アセロラ(ポケモン),アセロラ(トレーナー),アセロラ"
acfun,A站
acfun_girl,AC娘
acguy,アッガイ
achakura,あちゃくらさん
acheron_(honkai:_star_rail),黄泉
acheron_(izumo)_(honkai:_star_rail),黄泉(出雲)
achi_cirno,アチチルノ
achievement_unlocked,実績のロックが解除されました
achikita_chinami,"遠北千南,遠い北からの絵手紙"
achilles_(fate),"アキレウス(Fate),赤のライダー,アキレウス"
aciddrop_(arknights),アシッドドロップ(アークナイツ)
acolyte_(ragnarok_online),"アコライト,アコ"
acorn,"どんぐり,ドングリ,団栗"
acoustic_guitar,アコギ
acr_(girls'_frontline),"ACR(ドールズフロントライン),ACR(少女前線)"
acrobatic_silky_(dandadan),アクロバティックさらさら
across_the_stars_(idolmaster),アクロス・ザ・スターズ
acrylic_paint_(medium),"アクリル,アクリル絵具,アクリルガッシュ,アクリル画"
act-age,アクタージュ
action_heroine_cheer_fruits,"アクションヒロインチアフルーツ,チアフルーツ"
action_taimanin,アクション対魔忍
active_raid,アクティヴレイド
actress,"女優,アクトレス"
acura_(gunvolt),神園アキュラ
ad,広告
ada_(iyowa),アダ
ada_vessalius,"エイダ=ベザリウス,エイダベザリウス"
ada_wong,エイダ・ウォン
adachi_koichi,足立宏一
adachi_masahiro,足立正広
adachi_rei,足立レイ
adachi_sakura,"安達桜,安達"
adachi_taeko,安達妙子
adachi_tenka,足立甜花
adachi_to_shimamura,安達としまむら
adachi_tooru,足立透
adagaki_aki,安達垣愛姫
adagumo_no_saragimaru,"徒雲蛇穴丸,蛇穴丸,くろさら,徒云蛇穴丸"
adagumo_no_yaorochi,"徒雲八尾呂智,八尾呂智,やおすく,おろちん"
adam's_apple,"のどぼとけ,喉仏,喉頭隆起"
adam_(nier:automata),アダム(NieR)
adam_taurus,"アダム・トーラス,アダムトーラス"
adaman_(pokemon),"セキ(ポケモン),セキカイ(ポケモン),セキ"
adapted_costume,衣装アレンジ
adaptive_combat_rifle,"ブッシュマスターACR,マグプルマサダ"
adashino_adami,化之あだみ
add_(elsword),エド
add_(fate),アッド(Fate)
addam_origo,アデル・オルドー
addams_family,"アダムスファミリー,アダムス・ファミリー"
additional_memory_(vocaloid),アディショナルメモリー
ade_(agent_bunny)_(nikke),エード:エージェントバニー
ade_(nikke),エード(勝利の女神:NIKKE)
adela_(path_to_nowhere),阿黛拉
adelbert_steiner,アデルバート・スタイナー
adele_(fate),アデーレ(Fate)
adele_(maplestory),アデル
adele_balfetto,アデーレ・バルフェット
adeleine,アドレーヌ
adelie_(space_dandy),アデリー
adelie_penguin_(kemono_friends),アデリーペンギン(けものフレンズ)
adeline_(girls'_frontline),"黒NYTO,アデライン(ドールズフロントライン)"
adella_the_nun,尼僧アデーラ
adeltrud_walter,アデルトルート・オルター
adepta_sororitas,アデプタ・ソロリタス
adeptus_astartes,スペースマリーン
adeptus_mechanicus,mechanicum
adhesive_bra,ヌーブラ
adiane,アディーネ
adidas,アディダス
adilisia_lenn_mathers,アディリシア・レン・メイザース
adina_savic,アディナ
adipocere_(vocaloid),あだぽしゃ
adjustable_wrench,モンキーレンチ
adjusting_buruma,食い込み直し
adjusting_clothes,食い込み直し
adjusting_eyewear,眼鏡に手
adjusting_swimsuit,食い込み直し
adjutant_(snowbreak),分析員
adlet_myer,アドレット・マイア
admi_(nikke),アドミ(勝利の女神:NIKKE)
admiral_(kancolle),"提督(艦隊これくしょん),提督"
admiral_(warship_girls_r),"指揮官(戦艦少女R),提督(戦艦少女R)"
admiral_arisugawa,"有栖川提督,有栖川清十郎,オネエ提督(なごみ)"
admiral_graf_spee_(a_novel_anniversary)_(azur_lane),未知の記念日
admiral_graf_spee_(azur_lane),アドミラル・グラーフ・シュペー(アズールレーン)
admiral_graf_spee_(girl's_sunday)_(azur_lane),少女の日曜日
admiral_graf_spee_(peaceful_daily_life)_(azur_lane),平穏な毎日
admiral_hipper_(azur_lane),"アドミラル・ヒッパー(アズールレーン),アドミラル・ヒッパー,アドミラル・ヒッパー級(アズールレーン)"
admiral_hipper_(muse)_(azur_lane),アドミラル·ヒッパー(μ兵装)(アズールレーン)
admiral_nakhimov_(azur_lane),アドミラル・ナヒーモフ(アズールレーン)
admiral_shinonome_harutora,"Tora-nii,"
admiral_shiro_(shino),ホワイトクソ提督
admiral_suwabe,スワベ提督
admiral_zenker_(azur_lane),アドミラル・ツェンカー(アズールレーン)
admire_groove_(umamusume),アドマイヤグルーヴ(ウマ娘)
admire_vega's_twin_sister_(umamusume),アドマイヤベガの妹
admire_vega_(starry_nocturne)_(umamusume),Starry_Nocturne
admire_vega_(umamusume),"アドマイヤベガ,アドマイヤベガ(ウマ娘),アヤベ"
adnachiel_(arknights),アドナキエル(アークナイツ)
ado_(utaite),"アド,Ado心臓"
adobe_photoshop,フォトショップ
adol_christin,"アドル,アドル・クリスティン"
adolescence_(vocaloid),アドレサンス
adolf_hitler,"アドルフ・ヒトラー,総統閣下シリーズ,総統閣下"
adolfine_galland,アドルフィーネ・ガランド
adon_(street_fighter),アドン
adorozatorumary,アドローザトルマリィ
adriana_visconti,アドリアーナ・ヴィスコンティ
adrien_agreste,アドリアン
adult_baby,"赤ちゃんプレイ,幼児退行,幼児プレイ"
adult_neptune,大人ネプ
advance_of_zeta,アドバンス・オブ・Z
advance_wars,ファミコンウォーズ
advance_wars:_days_of_ruin,ファミコンウォーズDS2
advance_wars:_dual_strike,ファミコンウォーズDS
advent_cirno,アドベントチルノ
adventure_time,"アドベンチャー・タイム,アドベンチャータイム"
adventure_time:_fionna_and_cake,fionnaandcake
adventurequest_worlds,AQW
adventurer_(ff14),"メテオ(FF14),メテオサバイバー,ひろし(FF14)"
ae-3803,AE3803
aegaeon_(xenoblade),ワダツミ
aegir_(azur_lane),エーギル(アズールレーン)
aegir_(golden_dragon_among_auspicious_clouds)_(azur_lane),祥雲に昇る金龍
aegir_(housamo),エーギル
aegir_(iron_blood's_dragon_maid)_(azur_lane),鉄血母港のメイドラッへ
aegir_(one-on-one_leisure_time)_(azur_lane),閑暇の魔に憩いの時間を
aegis_(takunomi),イージス
aegislash,ギルガルド
aegyo_sal,"涙袋,エギョサル"
aek-999_(girls'_frontline),"AEK-999(ドールズフロントライン),AEK-999(少女前線)"
aeos_(dragon_ball),アイオス(ドラゴンボール)
aerial_fireworks,"打ち上げ花火,花火大会"
aerith_gainsborough,"エアリス・ゲインズブール,エアリス"
aerith_gainsborough_(floral_delight),フローラルソレイユ
aerith_gainsborough_(pink_mermaid),ピンキーマーメイド
aero_(mega_man),エアロ(ロックマン)
aerobics,"エアロビクス,エアロビック・エクササイズ"
aerodactyl,プテラ
aerosmith_(stand),エアロスミス
aerospray_(splatoon),"プロモデラーMG,プロモデラーRG,プロモデラーPG"
aeru_(simoun),アーエル
aesc_(exhibition_attire)_(fate),英霊博装
aesc_(fate),トネリコ
aesc_(rain_witch)_(fate),雨の魔女トネリコ
aesc_(savior)_(fate),救世主トネリコ
aesop_carl,"イソップ・カール,納棺師"
aespa,エスパ
aether_(genshin_impact),"空,空(原神),原神空,旅人(原神)"
aether_foundation_employee,"エーテル財団職員,エーテル財団"
aether_gazer,エーテルゲイザー
aether_sage_(elsword),エーテルセイジ
afghanis-tan,あふがにすタン
afk_arena,AFKアリーナ
afk_journey,AFKジャーニー
africa,アフリカ
african_elephant_(kemono_friends),アフリカゾウ(けものフレンズ)
african_penguin_(kemono_friends),"ケープペンギン(けものフレンズ),けーぷあーと"
african_rock_python_(kemono_friends),アフリカニシキヘビ(けものフレンズ)
african_wild_dog_(kemono_friends),リカオン(けものフレンズ)
afrika_korps,ドイツアフリカ軍団
afro,アフロ
after-school_sweets_club_(blue_archive),放課後スイーツ部
after_bathing,"お風呂上り,風呂上がり,お風呂上がり"
after_ejaculation,"ズリ事後,ぶっかけ,パイ射,ザーメンブリッジ"
after_paizuri,ズリ事後
after_rain,雨上がり
after_sex,"事後,歩き事後,ずらし事後"
after_the_rain,そらいろまふらー
after_war_gundam_x,"機動新世紀ガンダムX,ガンダムX"
afterglow_(bang_dream!),Afterglow(バンドリ)
afterimage,"残像,乳分身,残影"
afterword,"あとがき,後書き"
afuganisu-tan,あふがにすタン
afumau_(final_fantasy),アフマウ
afuro_terumi,"アフロディ,亜風炉,亜風炉照美,照美監督"
against_fence,フェンスの前
against_glass,ガラス越し
agano_(azur_lane),"阿賀野(アズールレーン),阿賀野"
agano_(kancolle),"阿賀野,阿賀野(艦隊これくしょん),阿賀野(艦これ)"
agarest_senki,アガレスト戦記
agarest_senki_(series),アガレスト戦記
agarest_senki_2,アガレスト戦記2
agarest_senki_mariage,アガレスト戦記Mariage
agarest_senki_zero,アガレスト戦記ZERO
agasa_hiroshi,阿笠博士
agate_crosner,アガット・クロスナー
agatha_(pokemon),"キクコ(トレーナー),キクコ"
agatha_chris_q_outfit_(touhou),アガサクリスQ
agatha_christie_no_meitantei_poirot_to_marple,アガサ・クリスティーの名探偵ポワロとマープル
agatsuma_kaede,吾妻楓
agatsuma_zenitsu,"我妻善逸,善逸"
agawa_sensei_(strikeout_pitch),阿川先生
age_difference,"年の差,年齢差,大人×子供,歳の差,おねロリ,ショタおね,ロリおね,ママショタ,おばショタ,おばロリ,ババショタ,おにロリ,おにショタ,ショタおに,ロリおに,パパショタ,お姉さん×男の娘"
age_of_ishtaria,刻のイシュタリア
age_progression,成長過程
age_regression,"幼児化,幼女化"
aged_down,"幼児化,幼少期,ショタ化,ロリ化,子供化,幼少時代,シンスイカッコカリ,幼児体型"
aged_up,"大人化,30ライブ!,オトナけもフレ,老化,アダルトジャックちゃん"
ageha_(ray-k),アゲハ(Ray-Kbys)
agemasen!_(meme),あげません!
agent_(girls'_frontline),"代理人,代理人(少女前線),エージェント,エージェント(ドールズフロントライン)"
agent_3_(splatoon),"3号,3号(Splatoon)"
agent_3_(splatoon_3),新3号
agent_416_(girls'_frontline),エージェント416(ドールズフロントライン)
agent_47,エージェント47
agent_4_(splatoon),4号
agent_8_(splatoon),"8号,8号(Splatoon)"
agent_aika,アイカ
agent_mirai,エージェントミライ
aggressive_retsuko,アグレッシブ烈子
aggron,ボスゴドラ
agielba,アギエルバ
agil,"エギル,エギル(SAO),アンドリュー・ギルバート・ミルズ"
agitha,アゲハ
aglaea_(honkai:_star_rail),アグライア(スターレイル)
aglovale_(granblue_fantasy),アグロヴァル(グラブル)
agnea_bristarni,アグネア・ブリスターニ
agnes_claudel,アニエス・クローデル
agnes_digital_(lovely_jiangshi)_(umamusume),"愛麗♡キョンシー,デイズ・イン・ア・フラッシュ"
agnes_digital_(umamusume),"アグネスデジタル,アグネスデジタル(ウマ娘),美少女デジたん"
agnes_giebenrath,アグネス・ギーベンラート
agnes_joubert,アニエス・ジュベール
agnes_oblige,"アニエス・オブリージュ,アニエス"
agnes_tachyon_(lunatic_lab)_(umamusume),夏の陽は、青く凪ぐ
agnes_tachyon_(sigma_experiment)_(umamusume),Σ_Experiment
agnes_tachyon_(tach-nology)_(umamusume),tach-nology
agnes_tachyon_(umamusume),"アグネスタキオン,アグネスタキオン(ウマ娘)"
agnese_sanctis,アニェーゼ=サンクティス
agnimon,アグニモン
agoshi_sakina,鴉越咲樹菜
agott_(tongari_boushi_no_atelier),アガット
agrat_bat_mahlat_(megami_tensei),アグラト・バト・マラト
agravain_(fate),アグラヴェイン(Fate)
agria_(tales),アグリア
agrias_oaks,"アグリアス,アグリアス・オークス"
ags-30_(girls'_frontline),"AGS-30(ドールズフロントライン),AGS-30(少女前線)"
aguila,"アギラ,宮下アキ"
agumon,アグモン
agumon_(digimon_savers),アグモン(2006アニメ版)
agyo_(housamo),アギョウ
ahab_(project_moon),エイハブ
ahagon_umiko,阿波根うみこ
aharen-san_wa_hakarenai,阿波連さんははかれない
aharen_reina,阿波連れいな
ahat_(ragnarok_online),アハト
ahegao,"アヘ顔,アヘ顔ダブルピース,アホ顔"
ahim_de_famille,アイム・ド・ファミーユ
ahiru_(duck)_(princess_tutu),あひる
ahiru_(princess_tutu),あひる
aho_girl,アホガール
aho_no_sakata,"あほの坂田。,となりの坂田。"
ahoge,アホ毛
ahri_(league_of_legends),アーリ
ahsoka_tano,アソーカ・タノ
ai-assisted,"AI補助,AI+手書き"
ai-chan's_sister_(tawawa),妹ちゃん(月曜日のたわわ)
ai-chan_(dokidoki!_precure),"アイちゃん,アイちゃん(プリキュア)"
ai-chan_(honkai_impact),爱酱
ai-chan_(tawawa),アイちゃん(月曜日のたわわ)
ai-generated,"AI生成,AIイラスト,にじジャーニー"
ai_(girls_band_cry),アイ
ai_(yu-gi-oh!),アイ
ai_ai_gasa,"相合い傘,相々傘,相相傘"
ai_drawing_anime_characters_eating_ramen_(meme),ラーメンを食べる樋口円香
ai_hyperion_lambda,AI・ハイペリオンΛ
ai_hyperion_lambda_(chrono_navi),AI・ハイペリオンΛ(クロノストラベラー)
ai_kotoba_iii_(vocaloid),愛言葉III
ai_shite!_homun,愛して!ほむん
ai_tenshi_densetsu_wedding_peach,"愛天使伝説ウェディングピーチ,ウェディングピーチ"
ai_the_somnium_files,"AI:ソムニウムファイル,AI:ソムニウム,ファイル"
ai_the_somnium_files:_nirvana_initiative,アイ:ソムニウムファイルニルヴァーナイニシアチブ
ai_yori_aoshi,藍より青し
aia_amare,アイア・アマレ
aia_amare_(1st_costume),アイア・アマレ(通常)
aiba_(ai_the_somnium_files),アイボゥ
aiba_ami,相羽アミ
aiba_asagi,藍羽浅葱
aiba_ibuki,相場伊吹
aiba_takumi,相羽タクミ
aiba_uiha,"相羽ういは,ういはぁーと"
aiba_yumi,相葉夕美
aibo_(gorgeous_mushroom),AIBO
aida_kensuke,相田ケンスケ
aida_mana,相田マナ
aida_rayhunton,アイーダ・スルガン
aida_rikako,逢田梨香子
aida_riko,相田リコ
aida_rion,相田りおん
aida_taketo,会田タケト
aigami_kaon,藍上夏音
aigami_shion,藍上詩音
aigan_tenshi_cheery_pink,愛玩天使チアリーピンク
aigis_(persona),アイギス(ペルソナ3)
aiguillette,"飾緒,金モール,銀モール"
aihara_enju,藍原延珠
aihara_mai,相原舞
aihara_mei,藍原芽衣
aihara_nana,相原菜々
aihara_wakana,愛原和奏
aihara_yukino,相原雪乃
aihara_yuzu,藍原柚子
aijima_cecil,愛島セシル
aijou_karen,"愛城華恋,かれひか,まひかれ"
aijou_rentarou,愛城恋太郎
aika_(eternal_arcadia),アイカ(永遠のアルカディア)
aika_(kiana_mai),aika
aika_(series),アイカ
aika_granzchesta,藍華·S·グランチェスタ
aika_himena,藍家ひめな
aika_r-16,AIKaR-16
aika_zero,AIKaZERO
aikatsu!,"アイカツ!_アイドルカツドウ,アイカツ!"
aikatsu!_(series),"アイカツ!,アイカツ"
aikatsu!_photo_on_stage!!,アイカツ!フォトonステージ!!
aikatsu_friends!,"アイカツフレンズ!,アイカツフレンズ"
aikatsu_on_parade!,アイカツオンパレード!
aikatsu_planet!,アイカツプラネット!
aikatsu_stars!,"アイカツスターズ!,アイカツスターズ"
aikawa_(dorohedoro),会川
aikawa_aika,相河愛花
aikawa_akane,愛川茜
aikawa_ayumu,相川歩
aikawa_chiho,相川千穂
aikawa_chinatsu,相川千夏
aikawa_fuuri,風紀委員ちゃん
aikawa_haruno,相川春乃
aikawa_kizuna,藍川絆
aikawa_megumi,逢川めぐみ
aikawa_miyuu,相川実優羽
aikawa_ren,藍川レン
aiko_(magipoka),鉄子
aila_jyrkiainen,アイラ・ユルキアイネン
ailac_coega,アイラック・コイーガ
ailane_(show_by_rock!!),アイレーン
aile_(mega_man_zx),"エールさん,エール(ロックマン)"
aile_strike_gundam,エールストライクガンダム
aimaina,アイマイナ
aimi_(sky-freedom),愛美
aiming_at_viewer,カメラ銃口
aimoto_rinku,愛本りんく
aina_(mao_lian),"艾娜,艾娜(貓臉)"
aina_ardebit,アイナ・アルデビット
aina_saharin,アイナ・サハリン
ainchase_ishmael,"アイン,アインチェイス・イスマエル,アインチェイス"
aincrad,浮遊城アインクラッド
aino_(genshin_impact),アイノ(原神)
aino_heart,愛乃はぁと
aino_megumi,愛乃めぐみ
aino_minako,愛野美奈子
aino_mito,相野みと
aino_nagisa,愛野渚
aino_pekonen,アイノ=ペコネン
ainu,"アイヌ語,アイヌ"
